"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_30" 5.91926018435233 0.822681020327277 0.0260577523183261 0.126186019332162 -0.0186167828103002 0.811709222748514 0.0872000191015711 0.0873580075577923 -0.00385384722294335 0.105308070746735 -0.111030401915911 -0.00269164775369811
"cell_31" 5.88733311994636 0.872802863383056 0.0727620447633969 0.126586093171031 -0.0207675417610569 0.832527078616932 0.0880671686427471 0.0856010986094521 0.00224979553881329 0.091255288704339 -0.128102034539048 -0.0306213798183712
"cell_32" 5.89855490268259 0.862836096889051 0.0491814241514299 0.123038458610773 -0.0290500520937527 0.825026176770182 0.112528277656765 0.111677490199244 0.0150507009310225 0.0803405517252677 -0.124808148633653 -0.0176679341487492
"cell_33" 5.92063816900705 0.86417838352081 0.0488589691429892 0.123564592419898 -0.0187537372972249 0.857975370399813 0.113836674916057 0.127172390817672 0.0195256744416341 0.0823588096366099 -0.0963092640439967 0.0120192525153488
"cell_34" 5.94135433155243 0.883768842000391 0.0399155981986638 0.121956923709844 0.00518171352365786 0.887635625367882 0.178644648310373 0.13971487763261 0.00620499319859773 0.105425093651618 -0.0964931817759483 0.0364788778701923
"cell_35" 5.95165299996123 0.938275045476009 0.0463680779018478 0.122752831369403 0.00408012075670043 0.956217153622407 0.210299469966698 0.144040303474445 0.00195231162256297 0.0998549888539476 -0.0810262578297692 0.0787566609426447
"cell_36" 5.97374369663839 0.966231645974428 0.0670991282229395 0.11438190756111 -0.0344637400096446 0.985299470346869 0.231817227648004 0.142222238524183 -0.0167341336205544 0.113330809653087 -0.0636418453039977 0.0967000619028331
"cell_37" 5.96266196785579 1.00951098479192 0.0999665344686703 0.091394047064411 -0.0600912608842324 1.01379171339238 0.263776043553553 0.163809093415289 0.00537110034188521 0.0895330504635155 -0.0873051416578582 0.0765597454778152
"cell_38" 5.97349507997073 1.07124631446452 0.12849013460456 0.0972716794178394 -0.0620593858167346 1.06300090302925 0.288769983240748 0.167576757274099 -0.0182776010611877 0.0828861304039944 -0.100568778763524 0.0674555858871803
"cell_39" 5.94300986745294 1.0761598565753 0.15493570200305 0.0525500906304222 -0.0616234450562212 1.08988313962299 0.342162028690889 0.191588353419617 -0.0365208042061441 0.0897459173149288 -0.0956747213319641 0.08027888322598
"cell_40" 5.94362832341877 1.08366504906191 0.181547242024666 0.0528301914779212 -0.0768103635100869 1.10729769362685 0.349090950692929 0.180235094022446 -0.042993145262059 0.0833253960852723 -0.0853014889614346 0.0968384820745249
